target_group,cluster_rank,top10_label,cluster_id,risk_pct_mean,infra_need_mean,vulnerability_mean,vulnerability_max,grid_n,cctv_need_rate,light_need_rate,wifi_need_rate,cctv_priority,light_priority,wifi_priority,cctv_needed,light_needed,wifi_needed,need_facility_n,primary_facility,facility_priority_order,recommendation_type,police_distance_mean_km,police_access_reference,longitude,latitude
어린이,1,어린이 TOP1,C28,46.1,1.0,0.461,0.461,1,1.0,1.0,1.0,0.35491625289462136,0.4615177615310162,0.18356598557436246,True,True,True,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,,,128.67969658350336,35.22979964494811
어린이,2,어린이 TOP2,C14,35.42,1.0,0.3542,0.3542,1,1.0,1.0,1.0,0.35491625289462136,0.4615177615310162,0.18356598557436246,True,True,True,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,,,128.61739024748334,35.253833806272986
어린이,3,어린이 TOP3,C5,32.0,1.0,0.32,0.32,1,1.0,1.0,1.0,0.35491625289462136,0.4615177615310162,0.18356598557436246,True,True,True,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,,,128.5762598149751,35.21904208657488
어린이,4,어린이 TOP4,C23,54.86,0.5384822384689838,0.2954113560240845,0.2954113560240845,1,1.0,0.0,1.0,0.35491625289462136,0.0,0.18356598557436246,True,False,True,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,,,128.66552926539995,35.23805172031852
어린이,5,어린이 TOP5,C3,54.55,0.5384822384689838,0.29374206108483064,0.29374206108483064,1,1.0,0.0,1.0,0.35491625289462136,0.0,0.18356598557436246,True,False,True,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,,,128.56477931641118,35.18127382494636
어린이,6,어린이 TOP6,C11,27.560000000000002,1.0,0.2756,0.2756,1,1.0,1.0,1.0,0.35491625289462136,0.4615177615310162,0.18356598557436246,True,True,True,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,,,128.59769205837458,35.260325660383266
어린이,7,어린이 TOP7,C21,50.0,0.5384822384689838,0.2692411192344919,0.2692411192344919,1,1.0,0.0,1.0,0.35491625289462136,0.0,0.18356598557436246,True,False,True,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,,,128.65876690483552,35.14885302159583
어린이,8,어린이 TOP8,C26,40.28,0.6450837471053786,0.25983973333404653,0.25983973333404653,1,0.0,1.0,1.0,0.0,0.4615177615310162,0.18356598557436246,False,True,True,2,보안등,보안등 > Wi-Fi,복수시설 보완 필요,,,128.6762002905934,35.2920469261779
어린이,9,어린이 TOP9,C13,47.74,0.5384822384689838,0.25707142064509286,0.25707142064509286,1,1.0,0.0,1.0,0.35491625289462136,0.0,0.18356598557436246,True,False,True,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,,,128.61300630258972,35.25477586021101
어린이,10,어린이 TOP10,C38,46.53,0.5384822384689838,0.25055578555961816,0.25055578555961816,1,1.0,0.0,1.0,0.35491625289462136,0.0,0.18356598557436246,True,False,True,2,CCTV,CCTV > Wi-Fi,복수시설 보완 필요,,,128.75470661301313,35.10551980141554
